player_code,player_name,team_or_sponsor
9113,노승희,리쥬란
9788,박혜준,두산건설 We've
9135,신다인,요진건설산업
10821,유아현,
11134,서교림,삼천리
8284,최예림,휴온스
8859,이승연,까르마
11045,양효진,대보건설
11770,짜라위 분짠(I),하나금융그룹
8881,성유진,대방건설
11056,박예지,KB금융그룹
11066,유서연2,
10109,고지원,삼천리
11057,송은아,대보건설
9235,최은우,아마노코리아
8243,장은수,굿빈스
8234,이주미,골든블루
11060,안재희,DB손해보험
9990,윤수아,리쥬란
10095,방신실,KB금융그룹
8840,정수빈,휴온스
8811,이채은2,메디힐
10083,마서영,리쥬란
1521,지한솔,동부건설
9820,정윤지,NH투자증권
11042,홍현지,기프트코
9765,정소이,
10296,문정민,동부건설
10727,황민정,대보건설
9111,박서현,
8863,윤혜림,
9130,박현경,메디힐
9708,이재윤,삼천리
10790,김하은2,리쥬란
11447,한아름,DB손해보험
10114,김나영,메디힐
8271,김효문,
9981,배수연,
10081,김민주,삼천리
12038,이지민,KB금융그룹
10139,양효리,참좋은여행
13502,왕 즈쉬엔,
8386,성은정,대선주조
10577,최예본,까르마
11391,양윤서 0801(A),
10481,이서윤4,신협
11485,신지우,
8246,이소영,메디힐
9391,최가빈,삼천리
9436,구래현,
10531,현세린,대방건설
9752,김나현2,
10138,임진영,대방건설
10143,정영화,
8838,김우정,OK저축은행
9136,조혜림,리쥬란
9487,김재희,SK텔레콤
9714,유지나,신협
8764,김소이,휴온스
9145,임희정,두산건설 We've
9389,전우리,휴온스
10159,강채연,퍼시픽링스코리아
