identity_key,group_size,menu1,menu2,menu3,leaf_level,label,node_type,evidence_source,label_resolution_method,is_menu3_collision
Approach::Approach01::020101,3,Approach,Approach01,020101,menu3,그린 적중률,REQUESTABLE_METRIC_LEAF,Approach::Approach01::020101,ancestor_walk,True
Approach::Approach01::020101,3,Approach,Approach01,020101,menu3,그린 적중률(RTP),REQUESTABLE_METRIC_LEAF,Approach::Approach01::020101,ancestor_walk,True
Approach::Approach01::020101,3,Approach,Approach01,020101,menu3,어프로치,REQUESTABLE_METRIC_LEAF,Approach::Approach01::020101,own_attrs,True
Approach::Approach02::020201,2,Approach,Approach02,020201,menu3,그린 적중 시 남은 거리,REQUESTABLE_METRIC_LEAF,Approach::Approach02::020201,ancestor_walk,True
Approach::Approach02::020201,2,Approach,Approach02,020201,menu3,평균 남은 거리,REQUESTABLE_METRIC_LEAF,Approach::Approach02::020201,ancestor_walk,True
Approach::Approach03::020301,2,Approach,Approach03,020301,menu3,그린 적중률(RTP),REQUESTABLE_METRIC_LEAF,Approach::Approach03::020301,ancestor_walk,True
Approach::Approach03::020301,2,Approach,Approach03,020301,menu3,그린 적중률(페어웨이),REQUESTABLE_METRIC_LEAF,Approach::Approach03::020301,ancestor_walk,True
Approach::Approach04::020401,2,Approach,Approach04,020401,menu3,그린 적중 시 평균 남은 거리(페어웨이),REQUESTABLE_METRIC_LEAF,Approach::Approach04::020401,ancestor_walk,True
Approach::Approach04::020401,2,Approach,Approach04,020401,menu3,평균 남은 거리,REQUESTABLE_METRIC_LEAF,Approach::Approach04::020401,ancestor_walk,True
Approach::Approach05::020501,2,Approach,Approach05,020501,menu3,그린 적중률(러프),REQUESTABLE_METRIC_LEAF,Approach::Approach05::020501,ancestor_walk,True
Approach::Approach05::020501,2,Approach,Approach05,020501,menu3,그린적중률(러프),REQUESTABLE_METRIC_LEAF,Approach::Approach05::020501,ancestor_walk,True
Approach::Approach06::020601,2,Approach,Approach06,020601,menu3,그린 적중 시 평균 남은 거리(러프),REQUESTABLE_METRIC_LEAF,Approach::Approach06::020601,ancestor_walk,True
Approach::Approach06::020601,2,Approach,Approach06,020601,menu3,평균 남은 거리,REQUESTABLE_METRIC_LEAF,Approach::Approach06::020601,ancestor_walk,True
Approach::Approach07::020701,2,Approach,Approach07,020701,menu3,버디 이하 확률,REQUESTABLE_METRIC_LEAF,Approach::Approach07::020701,ancestor_walk,True
Approach::Approach07::020701,2,Approach,Approach07,020701,menu3,페어웨이(상황별),REQUESTABLE_METRIC_LEAF,Approach::Approach07::020701,ancestor_walk,True
Approach::Approach08::020801,2,Approach,Approach08,020801,menu3,어프로치 후 남은 거리,REQUESTABLE_METRIC_LEAF,Approach::Approach08::020801,ancestor_walk,True
Approach::Approach08::020801,2,Approach,Approach08,020801,menu3,평균 남은 거리,REQUESTABLE_METRIC_LEAF,Approach::Approach08::020801,ancestor_walk,True
Approach::Approach09::010401,2,Approach,Approach09,010401,menu3,Par3 그린 적중률,REQUESTABLE_METRIC_LEAF,Approach::Approach09::010401,ancestor_walk,True
Approach::Approach09::010401,2,Approach,Approach09,010401,menu3,그린 적중률(RTP),REQUESTABLE_METRIC_LEAF,Approach::Approach09::010401,ancestor_walk,True
Approach::Approach10::010408,2,Approach,Approach10,010408,menu3,Par3 티샷 후 남은 거리,REQUESTABLE_METRIC_LEAF,Approach::Approach10::010408,ancestor_walk,True
Approach::Approach10::010408,2,Approach,Approach10,010408,menu3,평균 남은 거리,REQUESTABLE_METRIC_LEAF,Approach::Approach10::010408,ancestor_walk,True
Approach::Approach11::020901,2,Approach,Approach11,020901,menu3,"Par5, 2nd 샷",REQUESTABLE_METRIC_LEAF,Approach::Approach11::020901,ancestor_walk,True
Approach::Approach11::020901,2,Approach,Approach11,020901,menu3,페어웨이 안착률(RTP),REQUESTABLE_METRIC_LEAF,Approach::Approach11::020901,ancestor_walk,True
Approach::Approach12::020908,2,Approach,Approach12,020908,menu3,"Par5, 2nd 샷(거리)",REQUESTABLE_METRIC_LEAF,Approach::Approach12::020908,ancestor_walk,True
Approach::Approach12::020908,2,Approach,Approach12,020908,menu3,평균 비거리(그린 공략),REQUESTABLE_METRIC_LEAF,Approach::Approach12::020908,ancestor_walk,True
Around::Around01::030101,2,Around,Around01,030101,menu3,그린주변,REQUESTABLE_METRIC_LEAF,Around::Around01::030101,own_attrs,True
Around::Around01::030101,2,Around,Around01,030101,menu3,샌드 세이브율,REQUESTABLE_METRIC_LEAF,Around::Around01::030101,ancestor_walk,True
Around::Around02::030201,2,Around,Around02,030201,menu3,샌드 세이브 시 남은 거리,REQUESTABLE_METRIC_LEAF,Around::Around02::030201,ancestor_walk,True
Around::Around02::030201,2,Around,Around02,030201,menu3,평균 남은 거리,REQUESTABLE_METRIC_LEAF,Around::Around02::030201,ancestor_walk,True
Around::Around04::030306,2,Around,Around04,030306,menu3,스크램블링 시 남은 거리,REQUESTABLE_METRIC_LEAF,Around::Around04::030306,ancestor_walk,True
Around::Around04::030306,2,Around,Around04,030306,menu3,평균 남은 거리,REQUESTABLE_METRIC_LEAF,Around::Around04::030306,ancestor_walk,True
Around::Around05::030401,2,Around,Around05,030401,menu3,60야드 미만,REQUESTABLE_METRIC_LEAF,Around::Around05::030401,ancestor_walk,True
Around::Around05::030401,2,Around,Around05,030401,menu3,그린 주변 샷 후 남은 거리,REQUESTABLE_METRIC_LEAF,Around::Around05::030401,ancestor_walk,True
